Name,Party,PartyLetter,BornDate,Age,Profession,Education,Spokesperson_Areas,ImageURL
Mattias Tesfaye,Socialdemokratiet,A,31-03-1981,45,Fhv. minister,"Murerlærling, Aarhus, 1998-2001.",,https://www.dr.dk/parliament-member-images/mattias_tesfaye_500.jpg
Mette Abildgaard,Det Konservative Folkeparti,C,12-10-1988,37,Formand for Statsrevisorerne,"Cand.soc., Roskilde Universitet, 2007-2013. , Samfundsfaglig student, Tørring Gymnasium, 2004-2007.",Familieordfører,https://www.dr.dk/parliament-member-images/mette_abildgaard_500.jpg
Mette Frederiksen,Socialdemokratiet,A,19-11-1977,48,Statsminister,"Masteruddannelse i afrikastudier, Københavns Universitet, 2009. , Bachelor i administration og samfundsfag, Aalborg Universitet, 2007. , Student, Aalborghus Gymnasium, 1993-1996. , Byplanvejens Skole, 1983-1993.",,https://www.dr.dk/parliament-member-images/mette_frederiksen_500.jpg
Mette Thiesen,Dansk Folkeparti,O,20-12-1981,44,Lærer,"Lærer, N. Zahles Seminarium, 2004-2008. , Studentereksamen, Espergærde Gymnasium, 1998-2001. , 10. klasse, Asminderød Skole, 1997-1998. , Folkeskole, Endrupskolen, 1987-1997.","EU-ordfører, Udenrigsordfører",https://www.dr.dk/parliament-member-images/mette_thiesen_500.jpg
Michael Nedersøe,Dansk Folkeparti,O,22-10-1978,47,Ufaglært,,"Transportordfører, Udviklingsordfører",https://www.dr.dk/parliament-member-images/michael_nedersoe_500.jpg
Mikkel Bjørn,Dansk Folkeparti,O,19-10-1995,30,MF,"Skolelærer, Jelling seminarium, 2016-2020.","Indfødsretsordfører, Integrationsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/mikkel_bjoern_500.jpg
Mikkel Dencker,Dansk Folkeparti,O,20-11-1975,50,Selvstændig,"Ha-studier, Vestsjællands Handelshøjskolecenter, 2000-2001. , Økonomistudier, Københavns Universitet, 1996-2000. , 1-årig hh, Vestegnens Handelsskole, 1995-1996. , Matematisk studentereksamen, Rødovre Gymnasium, 1992-1995. , Folkeskole, Præstemoseskolen, 1982-1992.",Skatteordfører,https://www.dr.dk/parliament-member-images/mikkel_denker_500.jpg
Mogens Jensen,Socialdemokratiet,A,31-10-1963,62,Fhv. minister,"Fagbevægelsens lederuddannelse, LO-Skolen, Helsingør, 1997-1999. , Student, Morsø Gymnasium, 1979-1982. , Nykøbing Mors Folke- og Realskole, 1970-1979.",,https://www.dr.dk/parliament-member-images/mogens_jensen_500.jpg
Mohammad Rona,Moderaterne,M,10-01-1985,41,MF,"Hd i organisation og ledelse, Aalborg Universitet, 2011-2013. , Finansøkonom, Niels Brock, København, 2007-2009.","Indfødsretsordfører, Integrationsordfører, Politisk ordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/mohammad_rona_500.jpg
Mona Juul,Det Konservative Folkeparti,C,20-09-1967,58,Formand for Det Konservative Folkeparti,"Strategisk planning, Den Danske Reklameskole, 2000-2001. , Hd (A), Handelshøjskole Syd (Syddansk Universitet), 1992-1993. , Ha (E), Handelshøjskole Syd (Syddansk Universitet), 1988-1990. , Matematisk student, Amtsgymnasiet Horsens, 1983-1986.",,https://www.dr.dk/parliament-member-images/mona_juul_500.jpg
Monika Rubin,Moderaterne,M,20-12-1987,38,Socialminister og minister for nordisk samarbejde,"Ph.d. i sundhedsvidenskab, Københavns Universitet, 2023. , Cand.med., Københavns Universitet, 2015.",,https://www.dr.dk/parliament-member-images/monika_rubin_500.jpg
Morten Bødskov,Socialdemokratiet,A,01-05-1970,56,Udlændinge- og integrationsminister,"Ba i samfundsfag, Aalborg Universitet, 1994. , Stud.scient.adm., Aalborg Universitet, 1991-1994. , Viborg Amtsgymnasium, 1987-1990. , Karup Skole, 1977-1987.",,https://www.dr.dk/parliament-member-images/morten_bodskov_500.jpg
Morten Dahlin,Venstre,V,01-05-1989,37,Fhv. minister,"BSc ha(kom.), Copenhagen Business School (CBS), 2009-2012. , Værnepligtig, DANILOG, Vordingborg, 2008. , Student, Greve Gymnasium, 2005-2008. , Folkeskole, Krogårdskolen, Hundige, 1995-2005.",Udlændingeordfører,https://www.dr.dk/parliament-member-images/morten_dahlin_500.jpg
Morten E.G. Brautsch,Moderaterne,M,26-03-1985,41,,"Cand.jur., Aarhus Universitet, 2006-2012. , Folkeskolens afgangseksamen, Bramdrup Skole, Kolding, 2001. , Studentereksamen, Kolding Amtsgymnasium, 2001-2004.","Færøerneordfører, Grønlandsordfører, Ordfører for nordisk samarbejde, Retsordfører, Sikkerhedsordfører, Udenrigsordfører",https://www.dr.dk/parliament-member-images/morten_eg_brautsch_500.jpg
Morten Messerschmidt,Dansk Folkeparti,O,13-11-1980,45,"Formand for Dansk Folkeparti, cand.jur.","Cand.jur., Københavns Universitet, 2009. , Student, Sankt Annæ Gymnasium, 1996-1999.",,https://www.dr.dk/parliament-member-images/morten_messerschmidt_500.jpg
Naaja H. Nathanielsen,Inuit Ataqatigiit,,06-12-1975,50,Fhv. naalakkersuisoq/minister,"Master i journalistik, Ilisimatusarfik, Grønlands Universitet, Nuuk, 2024. , Cand.psych.aut., Københavns Universitet, 2001.",,"https://www.dr.dk/parliament-member-images/naaja_h,-d-,_nathanielsen_500.jpg"
